description,count
losartan potassium 50 MG Oral Tablet,18
Trinessa 28 Day Pack,16
Ibuprofen 100 MG Oral Tablet,16
120 ACTUAT fluticasone propionate 0.11 MG/ACTUAT Metered Dose Inhaler [Flovent],16
albuterol 0.417 MG/ML Inhalation Solution,16
budesonide 0.25 MG/ML Inhalation Suspension,15
albuterol 0.83 MG/ML Inhalation Solution,15
NDA020800 0.3 ML Epinephrine 1 MG/ML Auto-Injector,14
aspirin 81 MG Oral Capsule,14
Clopidogrel 75 MG Oral Tablet,13
Simvastatin 20 MG Oral Tablet,13
24 HR metoprolol succinate 100 MG Extended Release Oral Tablet,13
Nitroglycerin 0.4 MG/ACTUAT Mucosal Spray,13
12 HR Hydrocodone Bitartrate 10 MG Extended Release Oral Capsule,13
Jolivette 28 Day Pack,13
lisinopril 20 MG Oral Tablet,13
Acetaminophen 21.7 MG/ML / Dextromethorphan Hydrobromide 1 MG/ML / doxylamine succinate 0.417 MG/ML Oral Solution,12
Acetaminophen 325 MG / oxyCODONE Hydrochloride 5 MG Oral Tablet,11
Levora 0.15/30 28 Day Pack,11
Natazia 28 Day Pack,10
Seasonique 91 Day Pack,10
2 ML Ondansetron 2 MG/ML Injection,10
Errin 28 Day Pack,9
Acetaminophen 160 MG Chewable Tablet,8
Camila 28 Day Pack,8
1 ML heparin sodium  porcine 5000 UNT/ML Injection,8
Midazolam 1 MG/ML Injectable Solution,8
100 ML Propofol 10 MG/ML Injection,8
Rocuronium bromide 10 MG/ML Injectable Solution,8
Penicillin V Potassium 500 MG Oral Tablet,8
Paclitaxel 100 MG Injection,8
ferrous sulfate 325 MG Oral Tablet,7
Vitamin B12 5 MG/ML Injectable Solution,7
Hydrocortisone 10 MG/ML Topical Cream,6
cefazolin 2000 MG Injection,6
25 ML protamine sulfate (USP) 10 MG/ML Injection,6
isoflurane 99.9 % Inhalation Solution,6
Liletta 52 MG Intrauterine System,6
Amoxicillin 500 MG Oral Tablet,6
nitrofurantoin  macrocrystals 25 MG / nitrofurantoin  monohydrate 75 MG Oral Capsule,6
NuvaRing 0.12/0.015 MG per 24HR 21 Day Vaginal System,5
Kyleena 19.5 MG Intrauterine System,5
168 HR Ethinyl Estradiol 0.00146 MG/HR / norelgestromin 0.00625 MG/HR Transdermal System,5
Diazepam 5 MG Oral Tablet,5
Mirena 52 MG Intrauterine System,5
Amoxicillin 250 MG Oral Capsule,5
Meperidine Hydrochloride 50 MG Oral Tablet,5
diphenhydrAMINE Hydrochloride 25 MG Oral Tablet,5
Abuse-Deterrent 12 HR Oxycodone Hydrochloride 15 MG Extended Release Oral Tablet,5
Loratadine 5 MG Chewable Tablet,4
ciprofloxacin 500 MG Oral Tablet,4
clonazePAM 0.25 MG Oral Tablet,4
Penicillin V Potassium 250 MG Oral Tablet,4
predniSONE 5 MG Oral Tablet,4
Chlorpheniramine Maleate 2 MG/ML Oral Solution,4
remifentanil 2 MG Injection,4
Cefuroxime 250 MG Oral Tablet,4
bictegravir 50 MG / emtricitabine 200 MG / tenofovir alafenamide 25 MG Oral Tablet,4
Ortho Tri-Cyclen 28 Day Pack,4
sacubitril 97 MG / valsartan 103 MG Oral Tablet,4
Mestranol / Norethynodrel,4
losartan potassium 25 MG Oral Tablet,3
Fexofenadine hydrochloride 30 MG Oral Tablet,3
aspirin 81 MG Oral Tablet,3
Norinyl 1+50 28 Day Pack,3
Levonorgestrel 0.00354 MG/HR Drug Implant,3
Cefdinir,2
pravastatin sodium 40 MG Oral Tablet,2
prasugrel 10 MG Oral Tablet,2
Sodium Chloride 9 MG/ML Injectable Solution,2
1 ML Morphine Sulfate 5 MG/ML Injection,2
Piperacillin 4000 MG / tazobactam 500 MG Injection,2
10 ML Fentanyl 0.05 MG/ML Injection,2
Estrostep Fe 28 Day Pack,2
cycloSPORINE  modified 100 MG Oral Capsule,2
1 ML DOCEtaxel 20 MG/ML Injection,2
0.25 ML Leuprolide Acetate 30 MG/ML Prefilled Syringe,2
Fexofenadine hydrochloride 60 MG Oral Tablet,1
Levothyroxine Sodium 0.075 MG Oral Tablet,1
ciprofloxacin 250 MG Oral Tablet,1
carbamazepine 20 MG/ML Oral Suspension [Tegretol],1
insulin  regular  human 100 UNT/ML Injectable Solution,1
aspirin 325 MG Oral Tablet,1
heparin sodium  porcine 100 UNT/ML Injectable Solution,1
clopidogrel 300 MG Oral Tablet,1
24 HR metoprolol succinate 50 MG Extended Release Oral Tablet,1
ramipril 2.5 MG Oral Capsule,1
Astemizole 10 MG Oral Tablet,1
doxycycline hyclate 100 MG,1
Loratadine 10 MG Oral Tablet,1
cephalexin 500 MG Oral Tablet,1
Naproxen 500 MG Oral Tablet,1
piperacillin 2000 MG / tazobactam 250 MG Injection,1
150 ML vancomycin 5 MG/ML Injection,1
4 ML norepinephrine 1 MG/ML Injection,1
sevoflurane 1000 MG/ML Inhalation Solution,1
levofloxacin 500 MG Oral Tablet,1
amoxicillin 500 MG / clavulanate 125 MG Oral Tablet,1
desflurane 1000 MG/ML Inhalation Solution,1
cetirizine hydrochloride 5 MG Oral Tablet,1
sulfamethoxazole 800 MG / trimethoprim 160 MG Oral Tablet,1
Acetaminophen 325 MG / HYDROcodone Bitartrate 7.5 MG Oral Tablet,1
exemestane 25 MG Oral Tablet,1
ribociclib 200 MG Oral Tablet,1
FLUoxetine 20 MG Oral Capsule,1
bisoprolol fumarate 2.5 MG / hydrochlorothiazide 6.25 MG Oral Tablet,1
hydrochlorothiazide 12.5 MG / losartan potassium 100 MG Oral Tablet,1
10 ML Alfentanil 0.5 MG/ML Injection,1
5 ML fulvestrant 50 MG/ML Prefilled Syringe,1
palbociclib 100 MG Oral Capsule,1
Alteplase 100 MG Injection,1
5 ML SUFentanil 0.05 MG/ML Injection,1
